"intervention","state","lga","total_cost","target_value","state_count","lga_count","intervention_type","title","currency","target","cost_per_target"
"rm","Bayelsa","Ekeremor",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Bayelsa","Ekeremor",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Bayelsa","Ekeremor",20353723.4405181,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Bayelsa","Ekeremor",12721.0771503238,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Bayelsa","Kolokuma/Opokuma",7994688,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Bayelsa","Kolokuma/Opokuma",4996.68,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Bayelsa","Kolokuma/Opokuma",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Bayelsa","Kolokuma/Opokuma",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Bayelsa","Kolokuma/Opokuma",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Bayelsa","Kolokuma/Opokuma",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Bayelsa","Kolokuma/Opokuma",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Bayelsa","Kolokuma/Opokuma",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Bayelsa","Kolokuma/Opokuma",18657579.8204749,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Bayelsa","Kolokuma/Opokuma",11660.9873877968,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Bayelsa","Nembe",12991368,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Bayelsa","Nembe",8119.605,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Bayelsa","Nembe",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Bayelsa","Nembe",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Bayelsa","Nembe",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Bayelsa","Nembe",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Bayelsa","Nembe",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Bayelsa","Nembe",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Bayelsa","Nembe",22049867.0605613,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Bayelsa","Nembe",13781.1669128508,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Bayelsa","Ogbia",14490372,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Bayelsa","Ogbia",9056.4825,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Bayelsa","Ogbia",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Bayelsa","Ogbia",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Bayelsa","Ogbia",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Bayelsa","Ogbia",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Bayelsa","Ogbia",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Bayelsa","Ogbia",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Bayelsa","Ogbia",22049867.0605613,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Bayelsa","Ogbia",13781.1669128508,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Bayelsa","Sagbama",17488380,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Bayelsa","Sagbama",10930.2375,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Bayelsa","Sagbama",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Bayelsa","Sagbama",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Bayelsa","Sagbama",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Bayelsa","Sagbama",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Bayelsa","Sagbama",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Bayelsa","Sagbama",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Bayelsa","Sagbama",23746010.6806045,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Bayelsa","Sagbama",14841.2566753778,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Bayelsa","Southern Ijaw",20486388,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Bayelsa","Southern Ijaw",12803.9925,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Bayelsa","Southern Ijaw",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Bayelsa","Southern Ijaw",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Bayelsa","Southern Ijaw",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Bayelsa","Southern Ijaw",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Bayelsa","Southern Ijaw",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Bayelsa","Southern Ijaw",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Bayelsa","Southern Ijaw",28834441.540734,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Bayelsa","Southern Ijaw",18021.5259629587,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Bayelsa","Yenegoa",16988712,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Bayelsa","Yenegoa",10617.945,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Bayelsa","Yenegoa",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Bayelsa","Yenegoa",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Bayelsa","Yenegoa",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Bayelsa","Yenegoa",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Bayelsa","Yenegoa",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Bayelsa","Yenegoa",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Bayelsa","Yenegoa",25442154.3006477,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Bayelsa","Yenegoa",15901.3464379048,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Ado",15489708,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Ado",9681.0675,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Ado",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Ado",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Ado",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Ado",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Ado",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Ado",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Ado",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Ado",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Agatu",26482404,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Agatu",16551.5025,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Agatu",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Agatu",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Agatu",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Agatu",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Agatu",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Agatu",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Agatu",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Agatu",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Apa",22485060,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Apa",14053.1625,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Apa",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Apa",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Apa",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Apa",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Apa",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Apa",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Apa",18657579.8204749,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Apa",11660.9873877968,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Buruku",19986720,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Buruku",12491.7,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Buruku",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Buruku",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Buruku",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Buruku",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Buruku",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Buruku",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Buruku",22049867.0605613,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Buruku",13781.1669128508,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Gboko",23484396,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Gboko",14677.7475,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Gboko",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Gboko",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Gboko",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Gboko",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Gboko",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Gboko",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Gboko",28834441.540734,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Gboko",18021.5259629587,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Guma",19487052,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Guma",12179.4075,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Guma",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Guma",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Guma",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Guma",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Guma",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Guma",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Guma",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Guma",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Gwer East",15989376,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Gwer East",9993.36,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Gwer East",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Gwer East",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Gwer East",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Gwer East",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Gwer East",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Gwer East",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Gwer East",23746010.6806045,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Gwer East",14841.2566753778,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Gwer West",19487052,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Gwer West",12179.4075,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Gwer West",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Gwer West",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Gwer West",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Gwer West",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Gwer West",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Gwer West",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Gwer West",25442154.3006477,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Gwer West",15901.3464379048,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Katsina Ala",36475764,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Katsina Ala",22797.3525,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Katsina Ala",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Katsina Ala",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Katsina Ala",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Katsina Ala",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Katsina Ala",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Katsina Ala",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Katsina Ala",20353723.4405181,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Katsina Ala",12721.0771503238,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Konshisha",24483732,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Konshisha",15302.3325,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Konshisha",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Konshisha",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Konshisha",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Konshisha",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Konshisha",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Konshisha",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Konshisha",18657579.8204749,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Konshisha",11660.9873877968,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Kwande",21985392,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Kwande",13740.87,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Kwande",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Kwande",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Kwande",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Kwande",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Kwande",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Kwande",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Kwande",25442154.3006477,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Kwande",15901.3464379048,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Logo",16988712,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Logo",10617.945,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Logo",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Logo",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Logo",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Logo",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Logo",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Logo",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Logo",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Logo",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Makurdi",14990040,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Makurdi",9368.775,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Makurdi",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Makurdi",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Makurdi",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Makurdi",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Makurdi",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Makurdi",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Makurdi",18657579.8204749,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Makurdi",11660.9873877968,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Obi",23484396,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Obi",14677.7475,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Obi",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Obi",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Obi",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Obi",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Obi",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Obi",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Obi",20353723.4405181,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Obi",12721.0771503238,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Ogbadibo",21985392,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Ogbadibo",13740.87,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Ogbadibo",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Ogbadibo",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Ogbadibo",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Ogbadibo",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Ogbadibo",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Ogbadibo",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Ogbadibo",22049867.0605613,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Ogbadibo",13781.1669128508,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Ohimini",14490372,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Ohimini",9056.4825,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Ohimini",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Ohimini",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Ohimini",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Ohimini",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Ohimini",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Ohimini",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Ohimini",18657579.8204749,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Ohimini",11660.9873877968,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Oju",31479084,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Oju",19674.4275,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Oju",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Oju",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Oju",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Oju",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Oju",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Oju",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Oju",16961436.2004318,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Oju",10600.8976252699,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Okpokwu",26982072,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Okpokwu",16863.795,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Okpokwu",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Okpokwu",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Okpokwu",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Okpokwu",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Okpokwu",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Okpokwu",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Okpokwu",20353723.4405181,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Okpokwu",12721.0771503238,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Oturkpo",22984728,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Oturkpo",14365.455,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Oturkpo",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
"gc","Benue","Oturkpo",900,NA,NA,NA,"Support Services","Governance & Coordination","USD","Population",NA
"me","Benue","Oturkpo",4681778,NA,NA,NA,"Support Services","Monitoring & Evaluation","Naira","Population",NA
"me","Benue","Oturkpo",2926.11125,NA,NA,NA,"Support Services","Monitoring & Evaluation","USD","Population",NA
"rm","Benue","Oturkpo",NA,NA,NA,NA,"Support Services","Resource Mobilisation","Naira","Population",NA
"rm","Benue","Oturkpo",NA,NA,NA,NA,"Support Services","Resource Mobilisation","USD","Population",NA
"ss_sbc","Benue","Oturkpo",22049867.0605613,NA,NA,NA,"Support Services","Social Behaviour Change","Naira","Population",NA
"ss_sbc","Benue","Oturkpo",13781.1669128508,NA,NA,NA,"Support Services","Social Behaviour Change","USD","Population",NA
"cb","Benue","Tarka",13491036,NA,NA,NA,"Support Services","Capacity Building","Naira","Population",NA
"cb","Benue","Tarka",8431.8975,NA,NA,NA,"Support Services","Capacity Building","USD","Population",NA
"gc","Benue","Tarka",1440000,NA,NA,NA,"Support Services","Governance & Coordination","Naira","Population",NA
