"","state","lga","intervention","intervention_mix_to_show","intervention_summary","plan","plan_description"
"1947","Yobe","Yunusari","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Campaign + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1948","Yobe","Yunusari","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Campaign + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1949","Yobe","Yunusari","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Campaign + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1950","Yobe","Yunusari","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Campaign + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1951","Yobe","Yunusari","itn_campaign","ITN Campaign","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Campaign + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1952","Yobe","Yunusari","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Campaign + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1953","Yobe","Yunusari","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Campaign + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1954","Yobe","Yusufari","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Campaign + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1955","Yobe","Yusufari","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Campaign + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1956","Yobe","Yusufari","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Campaign + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1957","Yobe","Yusufari","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Campaign + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1958","Yobe","Yusufari","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Campaign + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1959","Yobe","Yusufari","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Campaign + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1960","Yobe","Yusufari","itn_campaign","ITN Campaign","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Campaign + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1961","Yobe","Yusufari","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Campaign + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1962","Yobe","Yusufari","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Campaign + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1963","Jigawa","Auyo","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1964","Jigawa","Auyo","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1965","Jigawa","Auyo","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1966","Jigawa","Auyo","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1967","Jigawa","Auyo","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1968","Jigawa","Auyo","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1969","Jigawa","Auyo","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1970","Jigawa","Auyo","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1971","Jigawa","Babura","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1972","Jigawa","Babura","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1973","Jigawa","Babura","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1974","Jigawa","Babura","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1975","Jigawa","Babura","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1976","Jigawa","Babura","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1977","Jigawa","Babura","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1978","Jigawa","Babura","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1979","Jigawa","Birnin Kudu","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1980","Jigawa","Birnin Kudu","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1981","Jigawa","Birnin Kudu","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1982","Jigawa","Birnin Kudu","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1983","Jigawa","Birnin Kudu","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1984","Jigawa","Birnin Kudu","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1985","Jigawa","Birnin Kudu","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1986","Jigawa","Birnin Kudu","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1987","Jigawa","Biriniwa","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1988","Jigawa","Biriniwa","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1989","Jigawa","Biriniwa","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1990","Jigawa","Biriniwa","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1991","Jigawa","Biriniwa","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1992","Jigawa","Biriniwa","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1993","Jigawa","Biriniwa","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1994","Jigawa","Biriniwa","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1995","Jigawa","Buji","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1996","Jigawa","Buji","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1997","Jigawa","Buji","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1998","Jigawa","Buji","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"1999","Jigawa","Buji","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2000","Jigawa","Buji","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2001","Jigawa","Buji","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2002","Jigawa","Buji","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2003","Jigawa","Dutse","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2004","Jigawa","Dutse","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2005","Jigawa","Dutse","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2006","Jigawa","Dutse","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2007","Jigawa","Dutse","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2008","Jigawa","Dutse","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2009","Jigawa","Dutse","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2010","Jigawa","Dutse","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2011","Jigawa","Gagarawa","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2012","Jigawa","Gagarawa","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2013","Jigawa","Gagarawa","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2014","Jigawa","Gagarawa","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2015","Jigawa","Gagarawa","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2016","Jigawa","Gagarawa","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2017","Jigawa","Gagarawa","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2018","Jigawa","Gagarawa","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2019","Jigawa","Garki","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2020","Jigawa","Garki","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2021","Jigawa","Garki","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2022","Jigawa","Garki","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2023","Jigawa","Garki","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2024","Jigawa","Garki","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2025","Jigawa","Garki","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2026","Jigawa","Garki","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2027","Jigawa","Gumel","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2028","Jigawa","Gumel","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2029","Jigawa","Gumel","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2030","Jigawa","Gumel","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2031","Jigawa","Gumel","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2032","Jigawa","Gumel","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2033","Jigawa","Gumel","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2034","Jigawa","Gumel","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2035","Jigawa","Guri","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2036","Jigawa","Guri","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2037","Jigawa","Guri","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2038","Jigawa","Guri","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2039","Jigawa","Guri","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2040","Jigawa","Guri","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2041","Jigawa","Guri","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2042","Jigawa","Guri","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2043","Jigawa","Gwaram","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2044","Jigawa","Gwaram","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2045","Jigawa","Gwaram","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2046","Jigawa","Gwaram","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2047","Jigawa","Gwaram","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2048","Jigawa","Gwaram","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2049","Jigawa","Gwaram","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2050","Jigawa","Gwaram","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2051","Jigawa","Gwiwa","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2052","Jigawa","Gwiwa","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2053","Jigawa","Gwiwa","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2054","Jigawa","Gwiwa","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2055","Jigawa","Gwiwa","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2056","Jigawa","Gwiwa","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2057","Jigawa","Gwiwa","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2058","Jigawa","Gwiwa","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2059","Jigawa","Hadejia","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2060","Jigawa","Hadejia","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2061","Jigawa","Hadejia","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2062","Jigawa","Hadejia","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2063","Jigawa","Hadejia","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2064","Jigawa","Hadejia","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2065","Jigawa","Hadejia","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2066","Jigawa","Hadejia","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2067","Jigawa","Jahun","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2068","Jigawa","Jahun","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2069","Jigawa","Jahun","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2070","Jigawa","Jahun","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2071","Jigawa","Jahun","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2072","Jigawa","Jahun","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2073","Jigawa","Jahun","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2074","Jigawa","Jahun","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2075","Jigawa","Kafin Hausa","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2076","Jigawa","Kafin Hausa","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2077","Jigawa","Kafin Hausa","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2078","Jigawa","Kafin Hausa","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2079","Jigawa","Kafin Hausa","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2080","Jigawa","Kafin Hausa","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2081","Jigawa","Kafin Hausa","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2082","Jigawa","Kafin Hausa","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2083","Jigawa","Kaugama","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2084","Jigawa","Kaugama","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2085","Jigawa","Kaugama","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2086","Jigawa","Kaugama","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2087","Jigawa","Kaugama","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2088","Jigawa","Kaugama","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2089","Jigawa","Kaugama","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2090","Jigawa","Kaugama","cm_private","CM_PRIVATE","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2091","Jigawa","Kazaure","cm_public","CM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2092","Jigawa","Kazaure","iptp","IPTp","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2093","Jigawa","Kazaure","smc","SMC","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2094","Jigawa","Kazaure","vacc","Vaccine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2095","Jigawa","Kazaure","irs","Targeted IRS","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2096","Jigawa","Kazaure","lsm","Targeted LSM","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
"2097","Jigawa","Kazaure","itn_routine","ITN Routine","CM + IPTp + SMC + Vaccine + Targeted IRS + Targeted LSM + ITN Routine","Baseline","Scenario 1 - Fully scaled up plan"
